news_headline,news_article,news_category,full_text,clean_text
"Porn site users tracked by Google, FB even in incognito mode: Study","An analysis of 22,484 pornography sites by researchers from Microsoft, Carnegie Mellon and Pennsylvania University has revealed technology giants including Google, Facebook and Oracle track users even in incognito mode. The study concluded that 93% of pages leak user data to a third party. Google and Facebook said data from these trackers isn't used to build marketing profiles of users.",technology,"Porn site users tracked by Google, FB even in incognito mode: Study. An analysis of 22,484 pornography sites by researchers from Microsoft, Carnegie Mellon and Pennsylvania University has revealed technology giants including Google, Facebook and Oracle track users even in incognito mode. The study concluded that 93% of pages leak user data to a third party. Google and Facebook said data from these trackers isn't used to build marketing profiles of users.",porn site user track google fb even incognito mode study analysis pornography site researcher microsoft carnegie mellon pennsylvania university reveal technology giant include google facebook oracle track user even incognito mode study conclude page leak user datum third party google facebook say datum tracker not use build marketing profile user
Google gaining unchecked power: 2nd protest walkout organiser quits,"Meredith Whittaker, one of seven Google employees who organised mass walkouts in November 2018 against the handling of sexual misconduct complaints, has quit after 13 years. ""Google, in the conventional pursuit of quarterly earnings, is gaining significant and largely unchecked power,"" Whittaker wrote. This comes weeks after another walkout organiser Claire Stapleton quit Google in June.",technology,"Google gaining unchecked power: 2nd protest walkout organiser quits. Meredith Whittaker, one of seven Google employees who organised mass walkouts in November 2018 against the handling of sexual misconduct complaints, has quit after 13 years. ""Google, in the conventional pursuit of quarterly earnings, is gaining significant and largely unchecked power,"" Whittaker wrote. This comes weeks after another walkout organiser Claire Stapleton quit Google in June.",google gain unchecked power nd protest walkout organiser quit meredith whittaker one seven google employee organise mass walkout november handling sexual misconduct complaint quit year google conventional pursuit quarterly earning gain significant largely unchecked power whittaker write come week another walkout organiser claire stapleton quit google june
Chennai man awarded ₹21 lakh for finding privacy bug in Instagram,"Chennai-based security researcher Laxman Muthiyah has won $30,000 (nearly ₹21 lakh) under a bug bounty programme for spotting a flaw in Facebook-owned Instagram. Muthiyah said the bug allowed him to ""hack any Instagram account without consent"". He revealed Facebook couldn't initially reproduce the vulnerability, but he convinced the platform with more information and a proof of concept video.",technology,"Chennai man awarded ₹21 lakh for finding privacy bug in Instagram. Chennai-based security researcher Laxman Muthiyah has won $30,000 (nearly ₹21 lakh) under a bug bounty programme for spotting a flaw in Facebook-owned Instagram. Muthiyah said the bug allowed him to ""hack any Instagram account without consent"". He revealed Facebook couldn't initially reproduce the vulnerability, but he convinced the platform with more information and a proof of concept video.",chennai man award lakh find privacy bug instagram chennai base security researcher laxman muthiyah win nearly lakh bug bounty programme spot flaw facebook instagram muthiyah say bug allow hack instagram account without consent reveal facebook could not initially reproduce vulnerability convince platform information proof concept video
Chrome update to stop sites from checking for Incognito Mode,"Technology giant Google has said that at the end of July, its internet browser Chrome will ""remedy"" a loophole that has allowed sites to detect people who are browsing in Incognito Mode. It added it will also change any other methods of detecting Incognito over time. The release of Chrome 76 is scheduled for July 30, Google revealed.",technology,"Chrome update to stop sites from checking for Incognito Mode. Technology giant Google has said that at the end of July, its internet browser Chrome will ""remedy"" a loophole that has allowed sites to detect people who are browsing in Incognito Mode. It added it will also change any other methods of detecting Incognito over time. The release of Chrome 76 is scheduled for July 30, Google revealed.",chrome update stop site check incognito mode technology giant google say end july internet browser chrome remedy loophole allow site detect people browse incognito mode add also change method detect incognito time release chrome schedule july google reveal
Microsoft's 3D hologram can speak any language in users' voice,"Microsoft unveiled an AI-powered life-sized mixed reality human hologram, capable of speaking any language. In a demo, Microsoft executive Julia White's hologram delivered an English speech in Japanese. Microsoft revealed it did so by first translating the speech into Japanese and then using neural text-to-speech to convert the translated text into real speech, which also sounded like White.",technology,"Microsoft's 3D hologram can speak any language in users' voice. Microsoft unveiled an AI-powered life-sized mixed reality human hologram, capable of speaking any language. In a demo, Microsoft executive Julia White's hologram delivered an English speech in Japanese. Microsoft revealed it did so by first translating the speech into Japanese and then using neural text-to-speech to convert the translated text into real speech, which also sounded like White.",microsoft hologram speak language user voice microsoft unveil ai power life sized mixed reality human hologram capable speak language demo microsoft executive julia white hologram deliver english speech japanese microsoft reveal first translate speech japanese use neural text speech convert translate text real speech also sound like white
"Twitter CEO visits Apple HQ, talks to marketing team: Report","Micro-blogging platform Twitter's Co-founder and CEO Jack Dorsey addressed Apple employees from the marketing department at the iPhone maker's headquarters, Bloomberg reported. Dorsey is one of several speakers talking to select Apple employees as part of an ongoing series, the report claimed. The address itself didn't point to a new partnership between Dorsey's companies and Apple, it added.",technology,"Twitter CEO visits Apple HQ, talks to marketing team: Report. Micro-blogging platform Twitter's Co-founder and CEO Jack Dorsey addressed Apple employees from the marketing department at the iPhone maker's headquarters, Bloomberg reported. Dorsey is one of several speakers talking to select Apple employees as part of an ongoing series, the report claimed. The address itself didn't point to a new partnership between Dorsey's companies and Apple, it added.",twitter ceo visit apple hq talk marketing team report micro blogging platform twitter co founder ceo jack dorsey address apple employee marketing department iphone maker headquarter bloomberg report dorsey one several speaker talk select apple employee part ongoing series report claim address not point new partnership dorsey company apple add
Instagram to hide number of 'Likes' in 6 more countries,"Facebook-owned photo-sharing platform Instagram is expanding its test to hide the visibility of the number of 'Likes' on other users' posts to six more countries. This includes Ireland, Italy, Japan, Brazil, Australia and New Zealand. Instagram said the test is ""because [it wants] your followers to focus on the photos and videos you share, not how many likes they get.""",technology,"Instagram to hide number of 'Likes' in 6 more countries. Facebook-owned photo-sharing platform Instagram is expanding its test to hide the visibility of the number of 'Likes' on other users' posts to six more countries. This includes Ireland, Italy, Japan, Brazil, Australia and New Zealand. Instagram said the test is ""because [it wants] your followers to focus on the photos and videos you share, not how many likes they get.""",instagram hide number like country facebook photo share platform instagram expand test hide visibility number like user post six country include ireland italy japan brazil australia new zealand instagram say test [ want ] follower focus photo video share not many like get
China search engine project 'Dragonfly' terminated: Google,"Karan Bhatia, Google's Global Government Affairs and Public Policy VP, has revealed the technology giant has ""terminated"" its controversial Chinese search engine project 'Dragonfly'. Google had repeatedly faced heavy criticism over its decision to create a censored search engine to comply with Chinese laws. Google CEO Sundar Pichai, in late 2018, had said work on the project was ""limited"".",technology,"China search engine project 'Dragonfly' terminated: Google. Karan Bhatia, Google's Global Government Affairs and Public Policy VP, has revealed the technology giant has ""terminated"" its controversial Chinese search engine project 'Dragonfly'. Google had repeatedly faced heavy criticism over its decision to create a censored search engine to comply with Chinese laws. Google CEO Sundar Pichai, in late 2018, had said work on the project was ""limited"".",china search engine project dragonfly terminate google karan bhatia google global government affair public policy vp reveal technology giant terminate controversial chinese search engine project dragonfly google repeatedly face heavy criticism decision create censor search engine comply chinese law google ceo sundar pichai late say work project limited
Instagram to warn if account faces risk of being disabled,"Instagram will now warn users if their accounts face a risk of getting disabled over violation of rules, through a notification process. The process will also offer the opportunity to appeal content deleted in certain cases, Instagram said. It added it will start removing accounts with a certain number of violations within a set window of time.",technology,"Instagram to warn if account faces risk of being disabled. Instagram will now warn users if their accounts face a risk of getting disabled over violation of rules, through a notification process. The process will also offer the opportunity to appeal content deleted in certain cases, Instagram said. It added it will start removing accounts with a certain number of violations within a set window of time.",instagram warn account face risk disabled instagram warn user account face risk get disabled violation rule notification process process also offer opportunity appeal content delete certain case instagram say add start remove account certain number violation within set window time
Google Photos flaw lets private photos be accessed publicly,"Security researcher Robert Wiblin has revealed a new flaw in Google Photos that lets privately-shared images become partially public. Users can access private photos or albums if they get access to the link of the shared content. Wiblin demonstrated in a video that a Google Photos image was accessible on a third-party Google account, even in the incognito mode.",technology,"Google Photos flaw lets private photos be accessed publicly. Security researcher Robert Wiblin has revealed a new flaw in Google Photos that lets privately-shared images become partially public. Users can access private photos or albums if they get access to the link of the shared content. Wiblin demonstrated in a video that a Google Photos image was accessible on a third-party Google account, even in the incognito mode.",google photo flaw let private photo access publicly security researcher robert wiblin reveal new flaw google photo let privately share image become partially public user access private photo album get access link share content wiblin demonstrate video google photo image accessible third party google account even incognito mode
Google removes 7 Play Store apps over risk of spying on user,"Google has removed seven apps from Play Store over risks of their ability to track user location and access contacts, SMS and call history. The apps were detected by antivirus firm Avast, which claimed all of the seven apps were likely designed by a Russian developer. The apps have been installed a combined 1.3 lakh times, Avast said.",technology,"Google removes 7 Play Store apps over risk of spying on user. Google has removed seven apps from Play Store over risks of their ability to track user location and access contacts, SMS and call history. The apps were detected by antivirus firm Avast, which claimed all of the seven apps were likely designed by a Russian developer. The apps have been installed a combined 1.3 lakh times, Avast said.",google remove play store app risk spy user google remove seven app play store risk ability track user location access contact sm call history app detect antivirus firm avast claim seven app likely design russian developer app instal combine lakh time avast say
Fake FaceApp challenge apps putting malware on devices: Kaspersky,"Cybersecurity firm Kaspersky has revealed fake clones of viral photo-editing app FaceApp, that lets users virtually look older, is installing malware such as 'MobiDash' adware on users' devices. Kaspersky added about 500 different users have faced the issue in two days, after first noticing the same on July 7. About 800 modifications of the 'MobiDash' module were identified, it added.",technology,"Fake FaceApp challenge apps putting malware on devices: Kaspersky. Cybersecurity firm Kaspersky has revealed fake clones of viral photo-editing app FaceApp, that lets users virtually look older, is installing malware such as 'MobiDash' adware on users' devices. Kaspersky added about 500 different users have faced the issue in two days, after first noticing the same on July 7. About 800 modifications of the 'MobiDash' module were identified, it added.",fake faceapp challenge app put malware device kaspersky cybersecurity firm kaspersky reveal fake clone viral photo edit app faceapp let user virtually look old instal malware mobidash adware user device kaspersky add different user face issue two day first notice july modification mobidash module identify add
"Atari Co-founder launches ₹2,800 board game powered by Alexa","X2 Games, created by arcade games firm Atari's Co-founder Nolan Bushnell and Hollywood creative director Zai Ortiz, has released an Alexa-powered board game 'St Noire'. The murder mystery game features immersive background sounds and over 2,500 lines of dialogue performed by actors portraying 12 different characters. Available on Amazon for about ₹2,800, it doesn't include the Alexa device itself.",technology,"Atari Co-founder launches ₹2,800 board game powered by Alexa. X2 Games, created by arcade games firm Atari's Co-founder Nolan Bushnell and Hollywood creative director Zai Ortiz, has released an Alexa-powered board game 'St Noire'. The murder mystery game features immersive background sounds and over 2,500 lines of dialogue performed by actors portraying 12 different characters. Available on Amazon for about ₹2,800, it doesn't include the Alexa device itself.",atari co founder launch board game power alexa x game create arcade game firm ataris co founder nolan bushnell hollywood creative director zai ortiz release alexa power board game st noire murder mystery game feature immersive background sound line dialogue perform actor portray different character available amazon not include alexa device
EU probes Amazon over abuse of merchant data to cut competition,"The European Union has launched a formal investigation on Amazon over concerns of potential abuse of merchant data that is accessible to it to cut down its own competition. ""Based on the Commission's preliminary fact-finding, Amazon appears to use competitively sensitive information,"" the regulator noted. ""We will cooperate fully with the European Commission,"" the e-commerce giant said.",technology,"EU probes Amazon over abuse of merchant data to cut competition. The European Union has launched a formal investigation on Amazon over concerns of potential abuse of merchant data that is accessible to it to cut down its own competition. ""Based on the Commission's preliminary fact-finding, Amazon appears to use competitively sensitive information,"" the regulator noted. ""We will cooperate fully with the European Commission,"" the e-commerce giant said.",eu probe amazon abuse merchant datum cut competition european union launch formal investigation amazon concern potential abuse merchant datum accessible cut competition base commission preliminary fact find amazon appear use competitively sensitive information regulator note cooperate fully european commission e commerce giant say
"Dhoni makes himself unavailable for WI tour, to serve his regiment","Ex-India captain MS Dhoni on Saturday made himself unavailable for the team's upcoming tour of West Indies. Dhoni, who holds an honorary rank of Lieutenant Colonel in Parachute Regiment of Territorial Army, will spend the next two months with his regiment, a senior BCCI official told PTI. The selection committee will pick the team for West Indies tour on Sunday.",sports,"Dhoni makes himself unavailable for WI tour, to serve his regiment. Ex-India captain MS Dhoni on Saturday made himself unavailable for the team's upcoming tour of West Indies. Dhoni, who holds an honorary rank of Lieutenant Colonel in Parachute Regiment of Territorial Army, will spend the next two months with his regiment, a senior BCCI official told PTI. The selection committee will pick the team for West Indies tour on Sunday.",dhoni make unavailable wi tour serve regiment ex india captain ms dhoni saturday make unavailable team upcome tour west indie dhoni hold honorary rank lieutenant colonel parachute regiment territorial army spend next two month regiment senior bcci official tell pti selection committee pick team west indie tour sunday
"Ashwin delivers ball without using full action, video goes viral","Off-spinner Ravichandran Ashwin delivered a ball without using his full action in the Tamil Nadu Premier League 4 opener on Friday. The 32-year-old didn't move his left hand and released the ball with a half-arm action. ""Mr Unpredictable,"" a user reacted to the viral video of Ashwin's action. Ashwin bowled the subsequent delivery with a Kedar Jadhav-like action.",sports,"Ashwin delivers ball without using full action, video goes viral. Off-spinner Ravichandran Ashwin delivered a ball without using his full action in the Tamil Nadu Premier League 4 opener on Friday. The 32-year-old didn't move his left hand and released the ball with a half-arm action. ""Mr Unpredictable,"" a user reacted to the viral video of Ashwin's action. Ashwin bowled the subsequent delivery with a Kedar Jadhav-like action.",ashwin deliver ball without use full action video go viral spinner ravichandran ashwin deliver ball without use full action tamil nadu premier league opener friday year old not move left hand release ball half arm action mr unpredictable user react viral video ashwin action ashwin bowl subsequent delivery kedar jadhav like action
A footballer once helped end civil war in his country,"Ex-forward Didier Drogba appealed to the warring factions in Ivory Coast to end the civil war, just after the country qualified for 2006 FIFA World Cup. Drogba, who joined Chelsea on July 20, 2004, made the appeal on television from team's dressing room. The government and the opposing forces agreed to start peace talks, following which a ceasefire was announced.",sports,"A footballer once helped end civil war in his country. Ex-forward Didier Drogba appealed to the warring factions in Ivory Coast to end the civil war, just after the country qualified for 2006 FIFA World Cup. Drogba, who joined Chelsea on July 20, 2004, made the appeal on television from team's dressing room. The government and the opposing forces agreed to start peace talks, following which a ceasefire was announced.",footballer help end civil war country ex forward didi drogba appeal war faction ivory coast end civil war country qualify fifa world cup drogba join chelsea july make appeal television team dressing room government oppose force agree start peace talk follow ceasefire announce
Not fair to have a result like that: Eoin Morgan on World Cup win,"Talking about his team winning 2019 World Cup final against New Zealand by virtue of scoring more boundaries, England captain Eoin Morgan said, ""I don't think it's fair to have a result like that when there's very little between the sides."" He added, ""I'm not sure winning it makes it any easier. It'd be more difficult to lose, of course.""",sports,"Not fair to have a result like that: Eoin Morgan on World Cup win. Talking about his team winning 2019 World Cup final against New Zealand by virtue of scoring more boundaries, England captain Eoin Morgan said, ""I don't think it's fair to have a result like that when there's very little between the sides."" He added, ""I'm not sure winning it makes it any easier. It'd be more difficult to lose, of course.""",not fair result like eoin morgan world cup win talk team win world cup final new zealand virtue score boundary england captain eoin morgan say not think fair result like little side add not sure win make easy would difficult lose course
Wife stayed with India player for entire WC violating rules: Reports,"A senior Indian cricketer's wife stayed with him for the entire seven-week duration of 2019 World Cup without seeking permission from either the captain or the coach. The player specifically requested for his wife to stay with him for more than the permissible period (15 days). However, the CoA had rejected his request on May 3, as per PTI.",sports,"Wife stayed with India player for entire WC violating rules: Reports. A senior Indian cricketer's wife stayed with him for the entire seven-week duration of 2019 World Cup without seeking permission from either the captain or the coach. The player specifically requested for his wife to stay with him for more than the permissible period (15 days). However, the CoA had rejected his request on May 3, as per PTI.",wife stay india player entire wc violating rule report senior indian cricketer wife stay entire seven week duration world cup without seek permission either captain coach player specifically request wife stay permissible period day however coa reject request may per pti
Can't afford to hang on to World Cup win: James Anderson,"Following England's World Cup victory, pacer James Anderson has said that England cricketers can't afford to hang on to the World Cup win. ""It's our job as English cricketers to try and carry that momentum on and hopefully an Ashes win will do that,"" he added. ""It’s a really exciting time for English cricket,"" he further said.",sports,"Can't afford to hang on to World Cup win: James Anderson. Following England's World Cup victory, pacer James Anderson has said that England cricketers can't afford to hang on to the World Cup win. ""It's our job as English cricketers to try and carry that momentum on and hopefully an Ashes win will do that,"" he added. ""It’s a really exciting time for English cricket,"" he further said.",not afford hang world cup win jame anderson follow england world cup victory pacer jame anderson say england cricketer not afford hang world cup win job english cricketer try carry momentum hopefully ashe win add really exciting time english cricket say
Talks of Dhoni's retirement even before WC looks like agenda: Manager,"MS Dhoni's manager and long-time friend Arun Pandey has said that it seemed there was some agenda after talks of Dhoni's retirement started even before the 2019 World Cup. ""It was hurtful. These things don't bother him. There is no such plan. Where is the question of his retirement when he's playing? It'll be his decision,"" he added.",sports,"Talks of Dhoni's retirement even before WC looks like agenda: Manager. MS Dhoni's manager and long-time friend Arun Pandey has said that it seemed there was some agenda after talks of Dhoni's retirement started even before the 2019 World Cup. ""It was hurtful. These things don't bother him. There is no such plan. Where is the question of his retirement when he's playing? It'll be his decision,"" he added.",talk dhoni retirement even wc look like agenda manager ms dhoni manager long time friend arun pandey say seem agenda talk dhoni retirement start even world cup hurtful thing not bother no plan question retirement play decision add
19-year-old sprinter Hima Das wins 5th international gold in 19 days,"India's 19-year-old sprinter Hima Das won her fifth international gold in 19 days after winning the 400-metre race by clocking 52.09 seconds at an international meet in Czech Republic today. She won her first competitive 200-metre race of 2019 on July 2 at Poznan Athletics Grand Prix, followed by 200-metre golds at Kutno, Kladno and Tabor meets.",sports,"19-year-old sprinter Hima Das wins 5th international gold in 19 days. India's 19-year-old sprinter Hima Das won her fifth international gold in 19 days after winning the 400-metre race by clocking 52.09 seconds at an international meet in Czech Republic today. She won her first competitive 200-metre race of 2019 on July 2 at Poznan Athletics Grand Prix, followed by 200-metre golds at Kutno, Kladno and Tabor meets.",year old sprinter hima das win th international gold day india year old sprinter hima das win fifth international gold day win metre race clock second international meet czech republic today win first competitive metre race july poznan athletic grand prix follow metre gold kutno kladno tabor meet
PV Sindhu reaches Indonesia Open final for the first time,"World number five PV Sindhu has entered the Indonesia Open final for the first time in her career after beating world number three Chen Yu Fei 21-19, 21-10 in the semi-final on Saturday. Sindhu will meet Japan’s Akane Yamaguchi in the final on Sunday. The final will also be Sindhu's first in 2019.",sports,"PV Sindhu reaches Indonesia Open final for the first time. World number five PV Sindhu has entered the Indonesia Open final for the first time in her career after beating world number three Chen Yu Fei 21-19, 21-10 in the semi-final on Saturday. Sindhu will meet Japan’s Akane Yamaguchi in the final on Sunday. The final will also be Sindhu's first in 2019.",pv sindhu reach indonesia open final first time world number five pv sindhu enter indonesia open final first time career beat world number three chen yu fei semi final saturday sindhu meet japan akane yamaguchi final sunday final also sindhus first
"Cricket is not a sport, says Russian government","The Russian government has refused to officially recognise cricket as a sport. Cricket will not be eligible for support from the Russian Sports Ministry, as per a memo. Footgolf, sports yoga, model plane flying, ice stock sport and korfball are among the disciplines that have found a place in Russia's ""registry of sports"". Thai boxing has also been denied recognition.",sports,"Cricket is not a sport, says Russian government. The Russian government has refused to officially recognise cricket as a sport. Cricket will not be eligible for support from the Russian Sports Ministry, as per a memo. Footgolf, sports yoga, model plane flying, ice stock sport and korfball are among the disciplines that have found a place in Russia's ""registry of sports"". Thai boxing has also been denied recognition.",cricket not sport say russian government russian government refuse officially recognise cricket sport cricket not eligible support russian sport ministry per memo footgolf sport yoga model plane flying ice stock sport korfball among discipline find place russia registry sport thai boxing also deny recognition
"Ravichandran Ashwin bats at no. 3, top scores in TNPL 4 opener","Batting at number three for his side Dindigul Dragons against Chepauk Super Gillies in the opening match of the TNPL 4, Ravichandran Ashwin scored 37 runs off 19 balls. He hit five fours and a six in his innings. Dindigul Dragons finished their innings at 115/9 in 20 overs, while Chepauk Super Gillies managed just 105/9 runs in 20 overs.",sports,"Ravichandran Ashwin bats at no. 3, top scores in TNPL 4 opener. Batting at number three for his side Dindigul Dragons against Chepauk Super Gillies in the opening match of the TNPL 4, Ravichandran Ashwin scored 37 runs off 19 balls. He hit five fours and a six in his innings. Dindigul Dragons finished their innings at 115/9 in 20 overs, while Chepauk Super Gillies managed just 105/9 runs in 20 overs.",ravichandran ashwin bat no top score tnpl opener batting number three side dindigul dragon chepauk super gillie opening match tnpl ravichandran ashwin score run ball hit five four six innings dindigul dragon finish inning chepauk super gillie manage run
